id,officer_id,created_at,updated_at,allegation_id
38745,2716,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38746,32407,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38747,31866,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38748,32381,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38749,9209,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38750,2,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38751,1021,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38752,32095,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38753,12380,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38754,17370,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38755,29156,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38756,23028,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38757,31955,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38758,32438,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38759,9138,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079447
38760,8748,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079448
38761,14168,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080068
38762,7720,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080068
38763,3044,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080068
38764,3592,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080362
38765,32094,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080449
38766,32094,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080449
38767,18333,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1080455
38768,9380,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079126
38769,29064,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079126
38770,20196,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079000
38771,32271,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079000
38772,32318,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079000
38773,13496,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079000
38774,24425,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079000
38775,31844,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079000
38776,30991,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079000
38777,1332,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079676
38778,916,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078305
38779,13287,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078305
38780,25108,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078305
38781,28130,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078303
38782,17678,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078303
38783,17678,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078303
38784,5226,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078303
38785,5226,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078303
38786,2898,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078300
38787,2898,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078300
38788,15575,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1078464
38789,32140,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38790,32127,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38791,32122,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38792,32018,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38793,31838,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38794,21189,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38795,32048,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38796,32253,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38797,4591,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38798,32247,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079373
38799,9729,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079371
38800,31909,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38801,2336,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38802,32195,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38803,26120,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38804,32396,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38805,31936,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38806,32121,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38807,2422,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38808,29256,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38809,32123,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38810,32283,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38811,32116,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38812,31967,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079494
38813,17931,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079542
38814,14443,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079542
38815,7195,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079542
38816,12621,2019-01-09T04:42:10.954298Z,2019-01-09T04:42:11.124258Z,1079643
