id,star,current,officer_id,created_at,updated_at
225,6788,true,171,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
238,3468,false,186,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
239,20028,false,186,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
240,2439,true,186,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
241,14186,false,186,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
247,17314,false,191,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
248,17571,false,191,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
251,18935,false,194,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
252,15106,false,194,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
262,15816,false,200,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
263,971,false,200,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
264,347,false,200,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
265,15,true,200,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
269,20510,true,203,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
270,12634,false,203,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
273,12374,false,205,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
274,9872,false,205,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
279,11799,false,210,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
281,2174,true,210,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
295,13760,false,223,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
296,13026,false,223,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
297,9343,false,223,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
298,17550,false,223,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
304,19518,true,230,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
305,17176,false,230,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
306,1020,true,232,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
307,20770,false,232,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
310,6460,false,235,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
311,20931,false,235,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
316,2469,false,241,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
317,18446,false,241,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
318,15971,false,241,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
319,4031,true,241,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
320,20033,true,242,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
321,7118,false,242,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
