,crime_count,beat,crime_month,quartile
16820,110,0524,2010-01-01,third
16902,93,0113,2010-01-01,second
17127,92,0821,2010-01-01,second
17131,84,1012,2010-01-01,second
17274,40,1651,2010-01-01,first
17315,79,2124,2010-01-01,second
17329,122,0332,2010-01-01,third
17368,87,1034,2010-01-01,second
17494,74,0232,2010-01-01,second
17600,158,0312,2010-01-01,fourth
17681,41,1611,2010-01-01,first
17726,70,2013,2010-01-01,second
17923,89,1414,2010-01-01,second
18314,101,0722,2010-01-01,third
18318,148,0412,2010-01-01,fourth
18319,137,1323,2010-01-01,fourth
18320,131,1422,2010-01-01,fourth
18411,108,1432,2010-01-01,third
18579,105,0924,2010-01-01,third
18860,133,0523,2010-01-01,fourth
18948,131,0822,2010-01-01,fourth
18994,33,0133,2010-01-01,first
19101,108,0914,2010-01-01,third
19114,212,1112,2010-01-01,fourth
19202,57,0814,2010-01-01,first
19379,89,2221,2010-01-01,second
19406,98,2211,2010-01-01,third
19411,101,1731,2010-01-01,third
19542,73,1312,2010-01-01,second
19592,154,0813,2010-01-01,fourth
19732,135,2422,2010-01-01,fourth
19955,1,0215,2010-01-01,first
20012,78,0933,2010-01-01,second
20058,50,2012,2010-01-01,first
20299,73,1311,2010-01-01,second
20303,118,0815,2010-01-01,third
20331,80,1433,2010-01-01,second
20447,75,1324,2010-01-01,second
20495,78,1724,2010-01-01,second
20527,72,0222,2010-01-01,second
20553,195,0621,2010-01-01,fourth
20594,180,0132,2010-01-01,fourth
20667,124,2514,2010-01-01,third
20751,51,1632,2010-01-01,first
20806,102,2232,2010-01-01,third
20899,90,0731,2010-01-01,second
20977,126,0513,2010-01-01,third
21035,178,1834,2010-01-01,fourth
21353,53,2431,2010-01-01,first
21464,59,2332,2010-01-01,first
21580,117,0911,2010-01-01,third
21593,46,2031,2010-01-01,first
21854,174,0834,2010-01-01,fourth
22005,53,2023,2010-01-01,first
22205,120,0733,2010-01-01,third
22252,160,0512,2010-01-01,fourth
22590,129,1132,2010-01-01,fourth
22591,41,1814,2010-01-01,first
22639,136,0613,2010-01-01,fourth
22811,152,2521,2010-01-01,fourth
22888,83,0724,2010-01-01,second
22897,77,1811,2010-01-01,second
22900,92,1513,2010-01-01,second
22999,91,1712,2010-01-01,second
23051,207,0831,2010-01-01,fourth
23082,88,1832,2010-01-01,second
23192,47,1922,2010-01-01,first
23218,3,1225,2010-01-01,first
23318,64,1713,2010-01-01,first
23351,77,1923,2010-01-01,second
23543,62,2312,2010-01-01,first
23591,64,1631,2010-01-01,first
23643,58,0921,2010-01-01,first
23759,104,2433,2010-01-01,third
23833,117,2524,2010-01-01,third
23946,164,0725,2010-01-01,fourth
24024,120,2212,2010-01-01,third
24076,104,0111,2010-01-01,third
24172,98,0735,2010-01-01,third
24431,117,2522,2010-01-01,third
24495,107,1634,2010-01-01,third
24526,90,1212,2010-01-01,second
24556,184,0824,2010-01-01,fourth
24561,132,0431,2010-01-01,fourth
24830,46,1222,2010-01-01,first
24838,119,1424,2010-01-01,third
24845,155,1122,2010-01-01,fourth
24910,58,0213,2010-01-01,first
24937,62,1233,2010-01-01,first
25356,100,0732,2010-01-01,third
25378,54,0134,2010-01-01,first
25380,105,1821,2010-01-01,third
25796,70,2112,2010-01-01,second
25875,121,1633,2010-01-01,third
25936,90,0715,2010-01-01,second
25958,96,1033,2010-01-01,second
26103,83,1213,2010-01-01,second
26182,84,1313,2010-01-01,second
26522,89,2311,2010-01-01,second
26535,30,1232,2010-01-01,first
26835,141,2233,2010-01-01,fourth
26859,260,0624,2010-01-01,fourth
26901,166,0122,2010-01-01,fourth
26958,110,0614,2010-01-01,third
27003,146,1124,2010-01-01,fourth
27175,82,0935,2010-01-01,second
27368,127,1723,2010-01-01,third
27395,43,0214,2010-01-01,first
27435,140,0912,2010-01-01,fourth
27496,146,1135,2010-01-01,fourth
27689,94,0422,2010-01-01,second
27698,153,0323,2010-01-01,fourth
27998,121,1134,2010-01-01,third
28174,192,0423,2010-01-01,fourth
28197,215,2533,2010-01-01,fourth
28527,256,0823,2010-01-01,fourth
28620,102,0915,2010-01-01,third
28656,40,2024,2010-01-01,first
28666,75,1114,2010-01-01,second
28677,118,2412,2010-01-01,third
28682,1,1235,2010-01-01,first
28704,75,1624,2010-01-01,second
28807,34,1613,2010-01-01,first
28883,77,1431,2010-01-01,second
28902,119,1024,2010-01-01,third
28913,94,1412,2010-01-01,second
29004,44,0925,2010-01-01,first
29133,63,1931,2010-01-01,first
29283,222,0511,2010-01-01,fourth
29305,188,0421,2010-01-01,fourth
29320,164,2512,2010-01-01,fourth
29381,61,1614,2010-01-01,first
29519,8,1655,2010-01-01,first
29853,18,1654,2010-01-01,first
30112,195,0414,2010-01-01,fourth
30187,120,2222,2010-01-01,third
30319,82,2123,2010-01-01,second
30363,102,1013,2010-01-01,third
30537,135,0835,2010-01-01,fourth
30810,96,2432,2010-01-01,second
30920,109,1123,2010-01-01,third
30985,72,0812,2010-01-01,second
31080,146,0131,2010-01-01,fourth
31177,137,0331,2010-01-01,fourth
31195,90,0633,2010-01-01,second
31200,146,2413,2010-01-01,fourth
31451,114,0411,2010-01-01,third
31509,111,1822,2010-01-01,third
31533,93,1434,2010-01-01,second
122,99,1933,2010-01-01,third
256,114,0334,2010-01-01,third
365,41,2133,2010-01-01,first
390,78,1932,2010-01-01,second
434,71,1023,2010-01-01,second
473,79,0622,2010-01-01,second
682,54,2122,2010-01-01,first
750,144,0623,2010-01-01,fourth
850,116,2531,2010-01-01,third
864,85,0931,2010-01-01,second
895,64,1322,2010-01-01,first
932,84,0922,2010-01-01,second
997,93,1924,2010-01-01,second
